Oct 11, 2017 2:00:28 AM org.apache.karaf.main.Main launch
INFO: Installing and starting initial bundles
Oct 11, 2017 2:00:29 AM org.apache.karaf.main.Main launch
INFO: All initial bundles installed and set to start
Oct 11, 2017 2:00:29 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Trying to lock /home/hly/odl project/p4plugin-karaf3/karaf/target/assembly/lock
Oct 11, 2017 2:00:29 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFO: Lock acquired
Oct 11, 2017 2:00:29 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFO: Lock acquired. Setting startlevel to 100
2017-10-11 02:01:08,894 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-akka-leveldb-0.7 1.8.2-SNAPSHOT
2017-10-11 02:01:09,283 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-akka-clustering-2.4 1.8.2-SNAPSHOT
2017-10-11 02:01:09,578 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-distributed-datastore 1.5.2-SNAPSHOT
2017-10-11 02:01:09,643 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-mdsal-xsql 1.5.2-SNAPSHOT
2017-10-11 02:01:09,674 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-toaster 1.5.2-SNAPSHOT
2017-10-11 02:01:09,721 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-connector-all 1.2.2-SNAPSHOT
2017-10-11 02:01:09,721 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-connector 1.2.2-SNAPSHOT
2017-10-11 02:01:09,722 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-notifications-api 1.2.2-SNAPSHOT
2017-10-11 02:01:09,722 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-config-manager-facade-xml 0.6.2-SNAPSHOT
2017-10-11 02:01:09,723 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-api 1.2.2-SNAPSHOT
2017-10-11 02:01:09,725 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-protocol-framework 0.9.2-SNAPSHOT
2017-10-11 02:01:09,908 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-client 1.2.2-SNAPSHOT
2017-10-11 02:01:09,908 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-config-all 0.6.2-SNAPSHOT
2017-10-11 02:01:09,909 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-netty-util 1.2.2-SNAPSHOT
2017-10-11 02:01:09,910 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-mapping-api 1.2.2-SNAPSHOT
2017-10-11 02:01:09,924 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-util 1.2.2-SNAPSHOT
2017-10-11 02:01:09,939 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netty 4.1.7.Final
2017-10-11 02:01:09,940 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-aaa-encryption-service 0.5.2-SNAPSHOT
2017-10-11 02:01:10,304 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-connector-ssh 1.2.2-SNAPSHOT
2017-10-11 02:01:10,305 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-topology 1.2.2-SNAPSHOT
2017-10-11 02:01:10,305 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-ssh 1.2.2-SNAPSHOT
2017-10-11 02:01:10,308 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-tcp 1.2.2-SNAPSHOT
2017-10-11 02:01:10,309 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-impl 1.2.2-SNAPSHOT
2017-10-11 02:01:10,310 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-config-netconf-connector 1.2.2-SNAPSHOT
2017-10-11 02:01:10,347 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-monitoring 1.2.2-SNAPSHOT
2017-10-11 02:01:10,353 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-netconf-notifications-impl 1.2.2-SNAPSHOT
2017-10-11 02:01:10,367 | INFO  | l for user karaf | FeaturesServiceImpl              | 20 - org.apache.karaf.features.core - 3.0.8 | Installing feature odl-aaa-netconf-plugin 1.2.2-SNAPSHOT
